name,location
Lộc Bình,106.9594723
Caen,-0.3907558
Weiting,120.695047
Xinzhai,116.428916
Muara Siberut,99.1788304
Kameoka,140.1850334
Huxingshan,110.702501
Ugac Sur,121.7177272
Nueve de Julio,-60.6743215
Gōdo,136.6048742
Tvrdonice,16.9944668
Polzela,15.0737321
Duran,122.619095
Beausejour,-96.51669
Bocaiúva,-43.8203315
Lagoa de Albufeira,-9.1705519
Alibunan,125.157404
Ganggawang,108.8343538
Jieshui,115.830376
Soutelo,-8.7261408
Vårby,17.8885705
Tuy Phước,109.1642208
Guadalupe,-100.7612288
Reisjärvi,24.9388982
Domašinec,16.6088342
Shiraoka,139.659239
Beizhouzi,112.683016
Freiburg im Breisgau,7.8374651
Pirapozinho,-51.5002318
Hualmay,-77.6106512
Heyan,127.287077
Ludwigshafen am Rhein,8.402137
Sukaratu,108.1250791
Nam Sách,106.3346061
Zhenping Chengguanzhen,109.530416
Gorna Oryakhovitsa,25.5508839
Yangxunqiao,120.369051
Dumlan,125.8610989
Payao,122.7995493
Rodionovo-Nesvetayskaya,39.7100993
Kirove,33.0697214
Trollhättan,12.2858206
Jauja,-75.4869033
Cherven Bryag,24.1479966
Daying,105.236903
Kolpashevo,82.8176788
Picoto,-8.6358837
Ghormach,63.9113296
Ruteng,120.466499
Planovskoye,44.1971438
Xiaoshanzi,127.60654
High Prairie,-116.4858
Thívai,23.3204309
Chilmāri,89.6616352
Xingfu,118.254644
Kabacan,124.828232
Pontes e Lacerda,-59.3800105
Zhajin,114.246016
Stráž nad Nisou,15.0266516
Beselga,-7.4270584
Jaraguá,-49.4466005
Tomioka,139.9056877
Solna,18.0191452
Moijabana,26.416667
Uzlovaya,135.123385
Ciguha Tengah,106.82849
Rouen,0.3908219
Oropós,23.7548814
Beisijia,119.2969454
Mistřice,17.5359749
Dedza,34.3254842
Crumlin,-6.3048641
Marne-la-Vallée,2.6618245
Nangka,121.108226
Hucheng,117.1168644
Vällingby,17.8838787
Aíyira,22.3558193
Legrada,123.247589
Fëdorovskoye,135.1523126
New Orleans,-90.0163544
Utrecht (stad),5.1175293
Kedungbanteng Krajan,109.1474718
Dayong,110.451191
Cofimvaba,27.6640187
Sabanalarga,-72.9899505
Nong Kung Si,103.3125299
Towa,96.657898
Jiangxigou,100.277557
Philadelphia,-75.1136721
Ariana,10.1647233
Cisarap,105.9053689
Alannay,121.5697251
Tobruk,23.941751
Jiguan,130.980894
Huanglong,103.82319
Wangkung,120.4415242
Jardin,-99.5145127
Uberlândia,-48.2841556
Paris 12,5.8978018
Tianfen,110.482084
Sekondi-Takoradi,-1.7344155
Agía Varvára,23.6583002
Junik,20.2775059
Juncheng,111.00746
Pundong,110.3368391
Shuizhai,115.761018
Pahonjean,108.7422767
Tha Luang,101.1228553
Rammūn,35.299468
Châteauroux,1.6937962
Tariji,120.6069565
San Buenaventura,-76.6622072
Volkhovskiy,32.3469693
Botucatu,-48.4412549
Krajan Joho,111.6051176
Luxor,32.6396357
Žandov,13.9466019
Langqi,119.583599
Huancapi,-74.0667302
Iza,23.3302946
Djibouti,42.590275
Sydney South,151.2092955
Xieyang,108.708991
Caopie,-117.6181229
Eskilstuna,16.5529968
Maslog,125.24729
Pawa,123.7396635
Belize City,-88.1962133
Gammad,121.7477444
Mulan,128.043465
Houston,-95.4935119
Cao Thượng,106.1270717
Canindé,-39.4035876
Tours,5.534063
Shanhe,121.4737021
Brejos,-8.9867334
Tacurong,124.6769673
Duba-Yurt,45.7296087
Ciriri,100.5858786
Espumoso,-52.8444231
Klimontów,20.3179338
Niederanven,6.2573108
Xinfeng,114.922922
Karangnongko,110.5394227
Muan,126.4816856
Kohtla-Järve,27.2797506
G’uzor,66.2605176
Rotterdam postbusnummers,4.5059
Đắk Song,107.6216789
Na Chaluai,105.1960795
Siayan,123.0748243
Roliça,-9.1836701
Karawatu,133.4608333
Ebak,116.8123832
Acatenango,-90.8862218
Putrajaya,101.6821575
Mangere,174.8398349
Mertzig,6.0058975
Semamung,117.4145232
Ngamba,111.9856
Yebaishou,100.222545
Boawae,121.2168466
Maxiao,105.6419561
Bogotá,-74.115187
Khueang Nai,104.558766
Chongxing,106.912251
Kuzhuping,110.089415
Nuamuzi,121.012
Gizałki,17.8504238
Kayapa,120.9524145
Shimen,111.380014
Xianlong,106.4352907
Gaotian,110.64085
Lubao,25.7456852
Kukur,20.3621596
Paobulan,112.8419
Temryuk,37.3986836
Niort,-0.4546217
Lindian,124.863603
Magdaleno Aguilar,-97.8850861
Kiikala,23.5496765
Złotów,17.04046
Calvão,-8.6970168
Netanya,34.853196
Shigony,48.6446327
Dobruševo,21.4825
Jamao al Norte,-70.449236
Karlskrona,15.6049677
Jenzan,128.2989526
Las Yaras,-70.5666522
Granja,-43.9551381
Kuaro,116.0886704
Longos,-8.3634846
Lengkongjaya,108.0450467
Rentian,116.604574
Al Maţarīyah,31.3181252
Buy,41.5474702
Santa Catalina,-71.5367908
Mayong,114.9605861
Viñac,-75.7803892
Uba,4.5232397
Petiga,115.180023
Victoria,14.240092
San Isidro,126.065213
Wang Sombun,102.1175404
Hufang,117.044081
Maredakamau,119.1866
São João das Lampas,-9.3993262
Höshööt,89.14358
Torino,7.6873152
Bailizhou,111.81127
Groblersdal,29.38926
Bogo,14.6004911
Masaguisi,121.3666687
Fukuechō,128.841093
Nyimba,31.1710389
Bogorejo,111.5200007
Yinghai,116.452296
Sauga,24.498407
Buutuo,-8.341016
Zhangcun,125.323544
Adiwerna,109.1259181
Targanice,19.3295966
Buesaco,-77.0334179
Chumphon Buri,104.1478667
Waterloo,-13.0645021
Wassa-Akropong,-2.091848
Mengxi,103.364905
Maisons-Alfort,2.4347009
Jifeng,121.4589773
Zhulan,115.717179
Jezzîne,35.5862413
Valday,33.243615
Yongning,108.487368
Puerto Quellón,-73.6138821
Dobrljin,16.4839317
São Luiz Gonzaga,-54.9171412
Slyudyanka,83.000494
Chulabhorn,101.638266
Ecilda Paullier,-57.0479481
San Antonio,-76.6701475
Sirindhorn,100.4959857
San Luis,125.743983
Huambalpa,-73.95396
Loacan,120.6171345
Laau,120.216667
Avignon,4.3686291
Skelivka,22.9667529
Xishanzui,108.893327
Juripiranga,-35.2258365
Bloomington,-86.5186022
Al Karmil,35.13278
Sidi Qacem,-5.7194522
Tangping,113.993115
Santa Cruz,-110.5967674
Czerwieńsk,15.4233905
Phoenix,-111.97
Kadubamban,105.8994
Diadi,121.366653
Sugihmukti,107.4558555
Binucayan,125.8131123
Litian,103.817356
Dmitrov,37.5182622
Palmerston North,175.5843632
Tiébo,-16.23333
København,12.5565291
Áyios Vasílios,22.8003951
Jindayris,36.6889
Shāzand,49.4008633
Sinilian First,120.45936
Huata,-77.8724575
Kuching,110.3426018
Douarnenez,-4.33096
Zwolle,6.0237938
